Type,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Latest,Stock,Max,Diff%
Profit,-16.0,-33.0,-25.0,-10.0,20.0,18.0,58.0,67.0,5PAISA.NS,67.0,0.0
Sales,47568.0,50569.0,60427.0,70676.0,75379.0,85651.0,101456.0,104288.0,HCLTECH.NS,104288.0,0.0
Profit,10542.0,11024.0,12622.0,13980.0,15853.0,16951.0,19488.0,19847.0,HCLTECH.NS,19847.0,0.0
Sales,440.0,770.0,778.0,748.0,1289.0,2292.0,3002.0,3099.0,ANGELONE.NS,3099.0,0.0
Profit,48.0,159.0,124.0,114.0,410.0,836.0,1192.0,1246.0,ANGELONE.NS,1246.0,0.0
Sales,5653.0,6226.0,7316.0,8678.0,8435.0,7959.0,9975.0,11126.0,FEDERALBNK.NS,11126.0,0.0
Profit,1342.0,1393.0,1960.0,2060.0,2209.0,2646.0,4263.0,4602.0,FEDERALBNK.NS,4602.0,0.0
Sales,55448.0,54487.0,59019.0,61138.0,61935.0,79312.0,90488.0,91790.0,WIPRO.NS,91790.0,0.0
Profit,11039.0,10242.0,11542.0,12252.0,13903.0,15141.0,14766.0,15211.0,WIPRO.NS,15211.0,0.0
Sales,1505.0,1770.0,2148.0,4562.0,4961.0,5157.0,6645.0,7136.0,BANDHANBNK.NS,7136.0,0.0
Profit,1704.0,2056.0,3013.0,4053.0,2949.0,129.0,2893.0,2675.0,BANDHANBNK.NS,4053.0,34.0
Sales,11898.0,15033.0,20005.0,24870.0,24143.0,30976.0,42840.0,44667.0,DMART.NS,44667.0,0.0
Profit,747.0,1222.0,1422.0,1745.0,1483.0,2064.0,3060.0,3082.0,DMART.NS,3082.0,0.0
Sales,6501.0,7306.0,9446.0,10879.0,12370.0,26109.0,33183.0,34241.0,LTIM.NS,34241.0,0.0
Profit,1236.0,1442.0,2028.0,2003.0,2588.0,5294.0,5792.0,5854.0,LTIM.NS,5854.0,0.0
Sales,38042.0,42381.0,53713.0,62137.0,59248.0,58584.0,77780.0,87376.0,HDFCBANK.NS,87376.0,0.0
Profit,23393.0,28464.0,34318.0,38195.0,42796.0,50873.0,61498.0,65272.0,HDFCBANK.NS,65272.0,0.0
Sales,7520.0,6912.0,11163.0,11517.0,12183.0,16026.0,17876.0,18441.0,ICICIGI.NS,18441.0,0.0
Profit,910.0,1196.0,1598.0,1697.0,1954.0,1684.0,2113.0,2167.0,ICICIGI.NS,2167.0,0.0
Sales,37816.0,38832.0,41463.0,21025.0,83182.0,62305.0,49404.0,74399.0,ICICIPRULI.NS,83182.0,10.56
Profit,1863.0,1839.0,1274.0,1198.0,1219.0,961.0,1085.0,1100.0,ICICIPRULI.NS,1863.0,40.96
Sales,8343.0,9783.0,13415.0,16724.0,15472.0,15822.0,18776.0,20582.0,INDUSINDBK.NS,20582.0,0.0
Profit,4360.0,5481.0,4980.0,6177.0,3929.0,6433.0,9932.0,10592.0,INDUSINDBK.NS,10592.0,0.0
Sales,1491.0,1839.0,5116.0,5357.0,4705.0,5880.0,6223.0,8122.0,NETWORK18.NS,8122.0,0.0
Profit,-261.0,-111.0,-231.0,143.0,512.0,939.0,-16.0,-28.0,NETWORK18.NS,939.0,102.98
Sales,5500.0,6770.0,7986.0,8830.0,8792.0,12204.0,14108.0,15261.0,POLYCAB.NS,15261.0,0.0
Profit,361.0,567.0,756.0,1010.0,1056.0,1188.0,1707.0,1943.0,POLYCAB.NS,1943.0,0.0
Sales,8221.0,6707.0,8366.0,6083.0,5414.0,5717.0,5695.0,5676.0,DLF.NS,8366.0,32.15
Profit,1030.0,8615.0,646.0,653.0,840.0,1165.0,1502.0,1530.0,DLF.NS,8615.0,82.24
Sales,6130.0,8116.0,10073.0,9440.0,10457.0,13938.0,16911.0,17500.0,HAVELLS.NS,17500.0,0.0
Profit,723.0,965.0,1147.0,904.0,1438.0,1607.0,1447.0,1502.0,HAVELLS.NS,1607.0,6.53
Sales,30647.0,32260.0,38857.0,29380.0,71528.0,67126.0,70207.0,86888.0,HDFCLIFE.NS,86888.0,0.0
Profit,1061.0,1300.0,1291.0,1463.0,1629.0,1487.0,1441.0,1503.0,HDFCLIFE.NS,1629.0,7.73
Sales,33162.0,35545.0,39310.0,39783.0,47028.0,52446.0,60580.0,61452.0,HINDUNILVR.NS,61452.0,0.0
Profit,6467.0,7306.0,8604.0,9165.0,10605.0,11879.0,13344.0,13603.0,HINDUNILVR.NS,13603.0,0.0
Sales,68484.0,70522.0,82675.0,90791.0,100472.0,121641.0,146767.0,150230.0,INFY.NS,150230.0,0.0
Profit,19951.0,20270.0,21041.0,22007.0,26628.0,30110.0,33322.0,34150.0,INFY.NS,34150.0,0.0
Sales,1403.0,1861.0,1725.0,1721.0,2586.0,3435.0,3416.0,3557.0,ISEC.NS,3557.0,0.0
Profit,522.0,852.0,757.0,753.0,1431.0,1853.0,1501.0,1498.0,ISEC.NS,1853.0,19.16
Sales,55604.0,71933.0,84757.0,73326.0,79839.0,146371.0,165960.0,170087.0,JSWSTEEL.NS,170087.0,0.0
Profit,5128.0,7651.0,11168.0,3013.0,12015.0,29745.0,5655.0,7854.0,JSWSTEEL.NS,29745.0,73.6
Sales,8818.0,8591.0,9341.0,9325.0,8131.0,9712.0,10612.0,10860.0,MCDOWELL-N.NS,10860.0,0.0
Profit,163.0,912.0,1012.0,1160.0,540.0,1087.0,1279.0,1663.0,MCDOWELL-N.NS,1663.0,0.0
Sales,25375.0,30979.0,41462.0,42430.0,44726.0,52599.0,63240.0,65813.0,ULTRACEMCO.NS,65813.0,0.0
Profit,3872.0,3301.0,3468.0,5183.0,8001.0,8524.0,7416.0,7390.0,ULTRACEMCO.NS,8524.0,13.3
Sales,15062.0,16825.0,19240.0,20211.0,21713.0,29101.0,34489.0,35064.0,ASIANPAINT.NS,35064.0,0.0
Profit,2960.0,3138.0,3306.0,3629.0,4304.0,4188.0,5689.0,6387.0,ASIANPAINT.NS,6387.0,0.0
Sales,496.0,827.0,1607.0,2377.0,2585.0,2688.0,3780.0,4148.0,AUBANK.NS,4148.0,0.0
