Symbol,AvgCost,Shares,InPortfolio
3MINDIA,,,
5PAISA,347.06,228,DM
AARTIIND,486.2,125,SV
AAVAS,1453.92,37,DM
AAVAS,1684.61,18,SV
ABBOTINDIA,,,
ABSLAMC,415.63,140,SV
ACC,,,
ADANIENT,,,
ADANIGREEN,,,
ADANIPORTS,,,
ADANITRANS,,,
AKZOINDIA,,,
ALKYLAMINE,,,
AMARAJABAT,625.25,72,DM
AMARAJABAT,626,48,SV
AMBUJACEM,424.02,180,DM
AMBUJACEM,439.2,92,SV
ANGELONE,,,
APEX,227,260,SV
APOLLOHOSP,,,
ASIANPAINT,3091.34,25,
ASIANTILES,73.8,800,SV
ASTRAZEN,,,
AUBANK,,,
AUROPHARMA,,,
AVANTIFEED,435.32,116,SV
AXISBANK,,,
BAJAJ-AUTO,,,
BAJAJFINSV,1454.93,52,DM
BAJAJFINSV,1510.55,26,SV
BAJAJHIND,,,
BAJAJHLDNG,,,
BAJFINANCE,6602.15,24,
BANDHANBNK,244.52,400,DM
BANDHANBNK,236.55,127,SV
BANKBARODA,191.9,270,SV
BATAINDIA,1523.62,70,DM
BAYERCROP,4346.57,16,DM
BERGEPAINT,697.63,72,DM
BERGEPAINT,621.92,137,SV
BHARTIARTL,,,
BIOCON,,,
BIRLAMONEY,76.97,650,SV
BLUESTARCO,,,
BOSCHLTD,,,
BPCL,,,
BRITANNIA,4491,13,SV
CADILAHC,,,
CAMS,2324.85,13,DM
CAMS,2371.53,13,SV
CANBK,,,
CAPLIPOINT,,,
CDSL,1082.25,70,DM
CDSL,1213.85,25,SV
CERA,,,
CHOLAFIN,,,
CIPLA,,,
CLEAN,1365.11,39,DM
CLEAN,1459.16,21,SV
COALINDIA,,,
COLPAL,,,
CROMPTON,306.85,165,SV
CUB,139.58,430,SV
DABUR,,,
DEEPAKNTR,,,
DEN,54.11,1000,SV
DIVISLAB,3671,,
DIXON,,,
DLF,,,
DMART,3659.46,14,DM
DMART,3593.25,7,SV
DREAMFOLKS,,,
DRREDDY,,,
EICHERMOT,3260.2,15,DM
EICHERMOT,3502,9,SV
EMAMILTD,422.59,72,DM
EMAMILTD,528.08,36,SV
EQUITAS,,,
EQUITASBNK,,,
ERIS,,,
FEDERALBNK,,,
FINCABLES,,,
FINEORG,4697.43,11,DM
FINEORG,4907.18,6,SV
GAIL,,,
GICRE,174.18,231,DM
GICRE,224.95,134,SV
GILLETTE,4475.85,21,DM
GLAND,1338.9,34,DM
GLAND,1676.5,20,SV
GLAXO,,,
