Scrip Name,Symbol,Date,Type,Qty,Price,Value
Tata Consumer Produc,TATACONSUM,29-May-23,Sell,65,791.96,"51,477.40"
Tata Consultancy,TCS,15-Jun-23,Buy,16,"3,231","51,696.00"
TeamLease Service,TEAMLEASE,22-May-23,Buy,14,"2,239.89","31,358.46"
TeamLease Service,TEAMLEASE,12-Jun-23,Buy,7,"2,360","16,520.00"
Ujjivan SmallFinance,UJJIVANSFB,22-May-23,Buy,900,33.6,"30,240.00"
Ujjivan SmallFinance,UJJIVANSFB,12-Jun-23,Buy,450,37.4,"16,830.00"
Ujjivan SmallFinance,UJJIVANSFB,19-Jul-23,Buy,500,42.4,"21,200.00"
Vaibhav Global,VAIBHAVGBL,16-May-23,Buy,156,320.64,"50,019.84"
Vaibhav Global,VAIBHAVGBL,17-May-23,Sell,60,320.21,"19,212.60"
Vaibhav Global,VAIBHAVGBL,12-Jun-23,Buy,48,311.15,"14,935.20"
Valiant Organics,VALIANTORG,16-May-23,Buy,104,481.73,"50,099.92"
Valiant Organics,VALIANTORG,17-May-23,Sell,40,480.94,"19,237.60"
Valiant Organics,VALIANTORG,02-Jun-23,Buy,32,627,"20,064.00"
Valiant Organics,VALIANTORG,12-Jun-23,Buy,48,567.25,"27,228.00"
Valiant Organics,VALIANTORG,19-Jul-23,Buy,41,497.83,"20,411.03"
Wipro,WIPRO,17-May-23,Buy,130,382.9,"49,777.00"
Wipro,WIPRO,12-Jun-23,Buy,65,398.4,"25,896.00"
