Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
SAIL.NS,2020-11-15,39.65,1.06,16925.0,3.67,58707.0,10.8,-2.97,1.92,9068.0,20.23,38.85,91.15,-89.08,2.0700000000000074,86.65,-135.69,2.0700000000000074
SAIL.NS,2021-02-15,64.75,3.55,19836.0,8.049999999999999,62001.0,8.04,1.06,3.67,16925.0,10.8,39.65,119.35,-56.04,63.309999999999995,17.2,234.91,63.309999999999995
SAIL.NS,2021-05-16,127.15,8.4,23285.0,10.04,69114.0,12.66,3.55,8.049999999999999,19836.0,8.04,64.75,24.72,71.64,96.36,17.39,136.62,96.36
SAIL.NS,2021-08-15,133.95,9.44,20643.0,22.45,80689.0,5.97,8.4,10.04,23285.0,12.66,127.15,123.61,-118.12,5.489999999999995,-11.35,12.38,5.489999999999995
SAIL.NS,2021-11-15,117.5,10.5,26828.0,31.889999999999997,90592.0,3.68,9.44,22.45,20643.0,5.97,133.95,42.05,-54.52,-12.470000000000006,29.96,11.23,-12.470000000000006
TORNTPHARM.NS,2020-08-15,2838.95,18.97,2056.0,66.78,7973.0,42.51,,,,,,,,,,,
TORNTPHARM.NS,2020-11-15,2728.05,18.32,2017.0,70.67999999999999,7985.0,38.6,18.97,66.78,2056.0,42.51,2838.95,5.84,-9.73,-3.8900000000000006,-1.9,-3.43,-3.8900000000000006
TORNTPHARM.NS,2021-02-15,,17.55,1995.0,73.4,8014.0,,18.32,70.67999999999999,2017.0,38.6,2728.05,3.85,,,-1.09,-4.2,
TORNTPHARM.NS,2021-05-16,2722.3,19.15,1937.0,73.99000000000001,8005.0,36.79,17.55,73.4,1995.0,,,0.8,,,-2.91,9.12,
TORNTPHARM.NS,2021-08-15,2963.75,19.5,2134.0,74.52000000000001,8083.0,39.77,19.15,73.99000000000001,1937.0,36.79,2722.3,0.72,8.16,8.88,10.17,1.83,8.88
TORNTPHARM.NS,2021-11-15,2791.35,18.67,2137.0,74.87,8203.0,37.28,19.5,74.52000000000001,2134.0,39.77,2963.75,0.47,-6.29,-5.82,0.14,-4.26,-5.82
MCDOWELL-N.NS,2020-08-15,584.15,-3.32,1032.0,2.960000000000001,7924.0,197.35,,,,,,,,,,,
MCDOWELL-N.NS,2020-11-15,555.8,1.78,2196.0,2.5000000000000004,7806.0,222.32,-3.32,2.960000000000001,1032.0,197.35,584.15,-15.54,10.69,-4.85,112.79,-153.61,-4.85
MCDOWELL-N.NS,2021-02-15,567.65,3.95,2673.0,3.210000000000001,7891.0,176.84,1.78,2.5000000000000004,2196.0,222.32,555.8,28.4,-26.27,2.129999999999999,21.72,121.91,2.129999999999999
MCDOWELL-N.NS,2021-05-16,565.3,2.87,2230.0,5.279999999999999,8131.0,107.06,3.95,3.210000000000001,2673.0,176.84,567.65,64.49,-64.91,-0.4200000000000017,-16.57,-27.34,-0.4200000000000017
MCDOWELL-N.NS,2021-08-15,660.5,0.76,1722.0,9.36,8821.0,70.57,2.87,5.279999999999999,2230.0,107.06,565.3,77.27,-60.42,16.849999999999994,-22.78,-73.52,16.849999999999994
MCDOWELL-N.NS,2021-11-15,958.6,4.02,2508.0,11.6,9133.0,82.64,0.76,9.36,1722.0,70.57,660.5,23.93,21.2,45.129999999999995,45.64,428.95,45.129999999999995
