Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
BAJFINANCE.NS,2021-08-15,6156.55,16.61,2254.0,73.99000000000001,9171.0,83.21,22.35,73.37,2196.0,72.65,5330.35,0.85,14.66,15.51,2.64,-25.68,15.51
BAJFINANCE.NS,2021-11-15,7579.1,24.54,2398.0,82.52,9211.0,91.85,16.61,73.99000000000001,2254.0,83.21,6156.55,11.53,11.58,23.11,6.39,47.74,23.11
BERGEPAINT.NS,2020-08-15,550.35,0.16,931.0,5.119999999999999,5581.0,107.49,,,,,,,,,,,
BERGEPAINT.NS,2020-11-15,651.9,2.27,1743.0,5.38,5725.0,121.17,0.16,5.119999999999999,931.0,107.49,550.35,5.08,13.37,18.45,87.22,1318.75,18.45
BERGEPAINT.NS,2021-02-15,770.35,2.83,2118.0,6.33,6147.0,121.7,2.27,5.38,1743.0,121.17,651.9,17.66,0.51,18.17,21.51,24.67,18.17
BERGEPAINT.NS,2021-05-16,752.75,2.15,2026.0,7.41,6818.0,101.59,2.83,6.33,2118.0,121.7,770.35,17.06,-19.34,-2.280000000000001,-4.34,-24.03,-2.280000000000001
BERGEPAINT.NS,2021-08-15,811.15,1.45,1798.0,8.7,7685.0,93.24,2.15,7.41,2026.0,101.59,752.75,17.41,-9.65,7.76,-11.25,-32.56,7.76
BERGEPAINT.NS,2021-11-15,794.5,2.25,2225.0,8.68,8167.0,91.53,1.45,8.7,1798.0,93.24,811.15,-0.23,-1.83,-2.06,23.75,55.17,-2.06
BHARTIARTL.NS,2020-08-15,528.6,-27.26,23939.0,-80.00999999999999,89433.0,-6.61,,,,,,,,,,,
BHARTIARTL.NS,2020-11-15,481.5,-1.31,25060.0,-39.410000000000004,93362.0,-12.22,-27.26,-80.00999999999999,23939.0,-6.61,528.6,-50.74,41.83,-8.910000000000004,4.68,-95.19,-8.910000000000004
BHARTIARTL.NS,2021-02-15,586.25,1.46,26518.0,-36.07000000000001,98536.0,-16.25,-1.31,-39.410000000000004,25060.0,-12.22,481.5,-8.48,30.19,21.71,5.82,-211.45,21.71
BHARTIARTL.NS,2021-05-16,560.4,1.29,25747.0,-25.82,101264.0,-21.7,1.46,-36.07000000000001,26518.0,-16.25,586.25,-28.42,24.0,-4.420000000000002,-2.91,-11.64,-4.420000000000002
BHARTIARTL.NS,2021-08-15,637.05,0.48,26854.0,1.92,104179.0,331.8,1.29,-25.82,25747.0,-21.7,560.4,-107.44,121.11,13.670000000000002,4.3,-62.79,13.670000000000002
BHARTIARTL.NS,2021-11-15,743.5,1.93,28326.0,5.16,107445.0,144.09,0.48,1.92,26854.0,331.8,637.05,168.75,-152.04,16.710000000000008,5.48,302.08,16.710000000000008
CANBK.NS,2020-08-15,101.3,3.29,11942.0,-18.130000000000003,38797.0,-5.59,,,,,,,,,,,
CANBK.NS,2020-11-15,92.05,3.21,11388.0,-20.8,40862.0,-4.43,3.29,-18.130000000000003,11942.0,-5.59,101.3,14.73,-23.82,-9.09,-4.64,-2.43,-9.09
CANBK.NS,2021-02-15,157.1,4.55,11128.0,-20.11,43188.0,-7.81,3.21,-20.8,11388.0,-4.43,92.05,-3.32,73.84,70.52000000000001,-2.28,41.74,70.52000000000001
