"DateTime","NIFTY50","NIFTY50 - PE"
"2003-07-23 05:30:00",1119.05,12.1
"2003-07-24 05:30:00",1139.45,12.32
"2003-07-25 05:30:00",1162.75,12.58
"2003-07-28 05:30:00",1169.2,12.65
"2003-07-29 05:30:00",1174.75,12.71
"2003-07-30 05:30:00",1183,12.81
"2003-07-31 05:30:00",1185.85,12.84
"2003-08-01 05:30:00",1195.75,12.95
"2003-08-04 05:30:00",1203.6,13.26
"2003-08-05 05:30:00",1184.45,13.05
"2003-08-06 05:30:00",1171.05,12.9
"2003-08-07 05:30:00",1196.95,13.19
"2003-08-08 05:30:00",1222.65,13.47
"2003-08-11 05:30:00",1232.85,13.58
"2003-08-12 05:30:00",1234.75,13.61
"2003-08-13 05:30:00",1246.9,13.74
"2003-08-14 05:30:00",1247.75,13.75
"2003-08-18 05:30:00",1281.4,14.12
"2003-08-19 05:30:00",1277.7,14.08
"2003-08-20 05:30:00",1287.4,14.19
"2003-08-21 05:30:00",1300.95,14.33
"2003-08-22 05:30:00",1311.15,14.45
"2003-08-25 05:30:00",1271.1,14.01
"2003-08-26 05:30:00",1318.2,14.52
"2003-08-27 05:30:00",1340.3,14.77
"2003-08-28 05:30:00",1341.05,14.78
"2003-08-29 05:30:00",1356.55,14.95
"2003-09-01 05:30:00",1375.95,15.16
"2003-09-02 05:30:00",1385.45,15.27
"2003-09-03 05:30:00",1359.35,14.98
"2003-09-04 05:30:00",1372.7,15.13
"2003-09-05 05:30:00",1398.4,15.41
"2003-09-08 05:30:00",1417.35,15.62
"2003-09-09 05:30:00",1407.05,15.5
"2003-09-10 05:30:00",1409.55,15.53
"2003-09-11 05:30:00",1403.15,15.46
"2003-09-12 05:30:00",1372.1,15.12
"2003-09-15 05:30:00",1329.25,14.65
"2003-09-16 05:30:00",1357.95,14.96
"2003-09-17 05:30:00",1341.6,14.78
"2003-09-18 05:30:00",1302.35,14.35
"2003-09-19 05:30:00",1322.15,14.57
"2003-09-22 05:30:00",1302.9,14.36
"2003-09-23 05:30:00",1328.2,14.64
"2003-09-24 05:30:00",1372.05,15.12
"2003-09-25 05:30:00",1357.2,14.95
"2003-09-26 05:30:00",1386.95,15.28
"2003-09-29 05:30:00",1399.95,15.43
"2003-09-30 05:30:00",1417.1,15.61
"2003-10-01 05:30:00",1420.85,15.66
"2003-10-03 05:30:00",1449.3,15.97
"2003-10-06 05:30:00",1478.9,16.3
"2003-10-07 05:30:00",1477.85,16.28
"2003-10-08 05:30:00",1478.6,16.29
"2003-10-09 05:30:00",1502.1,16.55
"2003-10-10 05:30:00",1523.1,16.78
"2003-10-13 05:30:00",1546.75,17.04
"2003-10-14 05:30:00",1520.8,16.76
"2003-10-15 05:30:00",1537,16.94
"2003-10-16 05:30:00",1555.7,17.14
"2003-10-17 05:30:00",1569.45,17.29
"2003-10-20 05:30:00",1542.7,17
"2003-10-21 05:30:00",1506.5,16.6
"2003-10-22 05:30:00",1494.1,16.46
"2003-10-23 05:30:00",1470.45,16.21
"2003-10-24 05:30:00",1506.05,16.6
"2003-10-25 05:30:00",1521.95,16.78
"2003-10-27 05:30:00",1485.3,16.37
"2003-10-28 05:30:00",1481.75,16.33
"2003-10-29 05:30:00",1498.45,16.52
"2003-10-30 05:30:00",1516.85,16.72
"2003-10-31 05:30:00",1555.9,17.15
"2003-11-03 05:30:00",1601.65,17.65
"2003-11-04 05:30:00",1618.7,17.84
"2003-11-05 05:30:00",1609.15,17.74
"2003-11-06 05:30:00",1612.2,17.77
"2003-11-07 05:30:00",1592.05,17.55
"2003-11-10 05:30:00",1594.5,17.58
"2003-11-11 05:30:00",1601.15,17.65
"2003-11-12 05:30:00",1603.8,17.68
"2003-11-13 05:30:00",1579.95,17.42
"2003-11-14 05:30:00",1550.45,17.09
"2003-11-15 05:30:00",1562.8,17.23
"2003-11-17 05:30:00",1579.9,17.42
"2003-11-18 05:30:00",1564.4,17.24
"2003-11-19 05:30:00",1540.6,16.98
"2003-11-20 05:30:00",1522.3,16.78
"2003-11-21 05:30:00",1540.7,16.98
"2003-11-24 05:30:00",1543.9,17.02
"2003-11-25 05:30:00",1568.65,17.29
"2003-11-27 05:30:00",1598.35,17.62
"2003-11-28 05:30:00",1615.25,17.81
"2003-12-01 05:30:00",1657.65,18.27
"2003-12-02 05:30:00",1658.5,18.29
"2003-12-03 05:30:00",1670.5,18.42
"2003-12-04 05:30:00",1675.2,18.47
"2003-12-05 05:30:00",1645.8,18.15
"2003-12-08 05:30:00",1646.25,18.15
"2003-12-09 05:30:00",1675.85,18.48
"2003-12-10 05:30:00",1686.9,18.6
"2003-12-11 05:30:00",1695.4,18.69
"2003-12-12 05:30:00",1698.9,18.73
"2003-12-15 05:30:00",1723.95,19.01
"2003-12-16 05:30:00",1736.25,19.15
"2003-12-17 05:30:00",1733.25,19.11
"2003-12-18 05:30:00",1756.1,19.37
"2003-12-19 05:30:00",1778.55,19.61
"2003-12-22 05:30:00",1789.15,19.73
