Symbol,AvgCost,Target,Shares,MedianPE,Nifty100,v80,InPortfolio,LatestQtr,StarStock,BizSimple,BizType,BizOutlook,BizDurability,Conviction,Category,Stock
HINDALCO,,,,10.4,1,0,0,0,0,0,,-1,1,L,,HINDALCO.NS
HINDPETRO,,,,,1,0,0,1,0,0,P,,,L,,HINDPETRO.NS
HINDUNILVR,,,,66.2,1,1,0,1,1,0,,1,1,H,FMCG,HINDUNILVR.NS
HONAUT,,,,,0,1,0,0,0,1,,,,M,,HONAUT.NS
IBREALEST,,,,11.3,0,0,0,0,0,0,,-1,-1,L,REALTY,IBREALEST.NS
ICICIBANK,,,,24.2,1,1,0,1,1,0,,1,1,H,BANKS,ICICIBANK.NS
ICICIGI,,,,46.2,1,1,0,1,1,0,,1,0,M,INSURANCE,ICICIGI.NS
ICICIPRULI,443,,,60.9,1,0,0,1,0,0,,1,0,M,INSURANCE,ICICIPRULI.NS
IGL,,,,,1,0,0,1,1,0,P,,,L,,IGL.NS
INDIANB,,,,7.4,0,0,0,1,1,0,,1,1,H,,INDIANB.NS
INDIGO,,,,30.7,1,0,0,0,0,0,,1,-1,L,AIRLINES,INDIGO.NS
INDIGOPNTS,1215.89,,83,104.9,0,0,1,0,1,0,G,1,1,M,PAINTS,INDIGOPNTS.NS
INDUSINDBK,,,,22.8,1,0,0,1,1,0,,1,1,H,BANKS,INDUSINDBK.NS
INDUSTOWER,,,,,1,0,0,1,0,0,,1,1,H,,INDUSTOWER.NS
INFY,1252.12,,40,29,1,1,1,1,1,0,G,1,1,H,IT,INFY.NS
IOC,,,,,1,0,0,0,0,0,V,,,L,,IOC.NS
IRCTC,623.94,,160,77.4,0,0,1,0,1,0,G,1,1,H,TRAVEL,IRCTC.NS
ISEC,,,,,0,1,0,1,0,1,,,,M,,ISEC.NS
ITC,,,,19.7,1,1,0,0,1,0,,1,1,H,FMCG,ITC.NS
JCHAC,,,,,0,1,0,0,0,1,,,,M,,JCHAC.NS
