Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
DCMSHRIRAM.NS,2020-08-15,358.95,4.43,1912.0,35.87,7777.0,10.01,,,,,,,,,,,
DCMSHRIRAM.NS,2020-11-15,339.35,7.63,2047.0,36.01,8071.0,9.42,4.43,35.87,1912.0,10.01,358.95,0.39,-5.92,-5.53,7.06,72.23,-5.53
DCMSHRIRAM.NS,2021-02-15,472.45,16.25,2159.0,41.22,8035.0,11.46,7.63,36.01,2047.0,9.42,339.35,14.47,24.78,39.25,5.47,112.98,39.25
DCMSHRIRAM.NS,2021-05-16,678.2,14.86,2191.0,43.17,8309.0,15.71,16.25,41.22,2159.0,11.46,472.45,4.73,38.83,43.56,1.48,-8.55,43.56
DCMSHRIRAM.NS,2021-08-15,953.15,10.12,1957.0,48.86,8354.0,19.51,14.86,43.17,2191.0,15.71,678.2,13.18,27.38,40.56,-10.68,-31.9,40.56
DCMSHRIRAM.NS,2021-11-15,1027.4,10.16,2145.0,51.39,8452.0,19.99,10.12,48.86,1957.0,19.51,953.15,5.18,2.59,7.77,9.61,0.4,7.77
DELTACORP.NS,2020-08-15,114.8,-1.05,48.0,4.23,635.0,27.14,,,,,,,,,,,
DELTACORP.NS,2020-11-15,135.8,-2.04,38.0,0.010000000000000231,472.0,13580.0,-1.05,4.23,48.0,27.14,114.8,-99.76,118.06,18.299999999999997,-20.83,94.29,18.299999999999997
DELTACORP.NS,2021-02-15,158.75,0.05,121.0,-1.97,388.0,-80.58,-2.04,0.010000000000000231,38.0,13580.0,135.8,-19800.0,19816.89,16.889999999999418,218.42,-102.45,16.889999999999418
DELTACORP.NS,2021-05-16,148.55,2.17,211.0,-0.8700000000000003,418.0,-170.75,0.05,-1.97,121.0,-80.58,158.75,-55.84,49.42,-6.420000000000002,74.38,4240.0,-6.420000000000002
DELTACORP.NS,2021-08-15,176.1,-1.08,76.0,-0.9000000000000001,446.0,-195.67,2.17,-0.8700000000000003,211.0,-170.75,148.55,3.45,15.1,18.55,-63.98,-149.77,18.55
DELTACORP.NS,2021-11-15,298.1,-0.85,75.0,0.28999999999999976,483.0,1027.93,-1.08,-0.9000000000000001,76.0,-195.67,176.1,-132.22,201.5,69.28,-1.32,-21.3,69.28
DBL.NS,2020-08-15,351.0,1.98,2100.0,20.65,9388.0,17.0,,,,,,,,,,,
DBL.NS,2020-11-15,356.15,0.64,2187.0,19.2,9581.0,18.55,1.98,20.65,2100.0,17.0,351.0,-7.02,8.48,1.4600000000000009,4.14,-67.68,1.4600000000000009
DBL.NS,2021-02-15,523.2,7.84,2746.0,22.66,9763.0,23.09,0.64,19.2,2187.0,18.55,356.15,18.02,28.89,46.91,25.56,1125.0,46.91
DBL.NS,2021-05-16,526.85,9.04,3135.0,19.5,10168.0,27.02,7.84,22.66,2746.0,23.09,523.2,-13.95,14.65,0.7000000000000011,14.17,15.31,0.7000000000000011
DBL.NS,2021-08-15,534.95,-1.09,2438.0,16.43,10506.0,32.56,9.04,19.5,3135.0,27.02,526.85,-15.74,17.28,1.540000000000001,-22.23,-112.06,1.540000000000001
DBL.NS,2021-11-15,628.55,-30.4,2856.0,-14.61,11175.0,-43.02,-1.09,16.43,2438.0,32.56,534.95,-188.92,206.42,17.5,17.15,2688.99,17.5
EIDPARRY.NS,2020-08-15,281.45,1.66,4142.0,29.659999999999997,18144.0,9.49,,,,,,,,,,,
EIDPARRY.NS,2020-11-15,288.05,17.96,5836.0,37.36,18305.0,7.71,1.66,29.659999999999997,4142.0,9.49,281.45,25.96,-23.63,2.330000000000002,40.9,981.93,2.330000000000002
EIDPARRY.NS,2021-02-15,319.4,6.02,4701.0,34.52,18924.0,9.25,17.96,37.36,5836.0,7.71,288.05,-7.6,18.46,10.860000000000001,-19.45,-66.48,10.860000000000001
EIDPARRY.NS,2021-05-16,409.25,-0.36,3908.0,25.28,18587.0,16.19,6.02,34.52,4701.0,9.25,319.4,-26.77,54.93,28.16,-16.87,-105.98,28.16
EIDPARRY.NS,2021-08-15,401.6,7.49,4354.0,31.11,18799.0,12.91,-0.36,25.28,3908.0,16.19,409.25,23.06,-24.93,-1.870000000000001,11.41,-2180.56,-1.870000000000001
EIDPARRY.NS,2021-11-15,503.9,13.75,6978.0,26.900000000000002,19941.0,18.73,7.49,31.11,4354.0,12.91,401.6,-13.53,38.98,25.449999999999996,60.27,83.58,25.449999999999996
EDELWEISS.NS,2020-08-15,76.0,-2.62,1898.0,-25.92,8863.0,-2.93,,,,,,,,,,,
EDELWEISS.NS,2020-11-15,55.0,-0.52,2223.0,-26.990000000000002,8696.0,-2.04,-2.62,-25.92,1898.0,-2.93,76.0,4.13,-31.61,-27.48,17.12,-80.15,-27.48
EDELWEISS.NS,2021-02-15,71.05,-0.75,2179.0,-27.92,8235.0,-2.54,-0.52,-26.990000000000002,2223.0,-2.04,55.0,3.45,25.38,28.83,-1.98,44.23,28.83
EDELWEISS.NS,2021-05-16,60.75,6.72,3058.0,2.829999999999999,9358.0,21.47,-0.75,-27.92,2179.0,-2.54,71.05,-110.14,95.63,-14.510000000000005,40.34,-996.0,-14.510000000000005
EDELWEISS.NS,2021-08-15,84.25,0.19,1633.0,5.640000000000001,9093.0,14.94,6.72,2.829999999999999,3058.0,21.47,60.75,99.29,-60.62,38.67000000000001,-46.6,-97.17,38.67000000000001
EDELWEISS.NS,2021-11-15,79.8,0.61,1821.0,6.77,8691.0,11.79,0.19,5.640000000000001,1633.0,14.94,84.25,20.04,-25.31,-5.27,11.51,221.05,-5.27
ENGINERSIN.NS,2020-08-15,67.85,0.75,474.0,5.46,2967.0,12.43,,,,,,,,,,,
