Stock,Year,Close,EPS(TTM),PE(TTM),Prev_EPS,Prev_PE,Prev_Close,FR%,SR%,TR%
KOTAKBANK.NS,2013-05-16,384.12,14.66,26.2,12.37,22.01,272.23,18.51,22.56,41.07
KOTAKBANK.NS,2014-05-16,434.95,16.0,27.18,14.66,26.2,384.12,9.14,4.08,13.22
KOTAKBANK.NS,2015-05-16,672.28,19.72,34.09,16.0,27.18,434.95,23.25,31.33,54.58
KOTAKBANK.NS,2016-05-16,708.25,18.86,37.55,19.72,34.09,672.28,-4.36,9.71,5.3500000000000005
KOTAKBANK.NS,2017-05-16,973.3,26.84,36.26,18.86,37.55,708.25,42.31,-4.89,37.42
KOTAKBANK.NS,2018-05-16,1283.85,32.54,39.45,26.84,36.26,973.3,21.24,10.67,31.909999999999997
KOTAKBANK.NS,2019-05-16,1395.8,37.74,36.98,32.54,39.45,1283.85,15.98,-7.26,8.72
KOTAKBANK.NS,2020-05-16,1178.3,44.92,26.23,37.74,36.98,1395.8,19.02,-34.6,-15.580000000000002
KOTAKBANK.NS,2021-05-16,1706.65,50.41,33.86,44.92,26.23,1178.3,12.22,32.64,44.86
KOTAKBANK.NS,2021-11-15,2074.7,50.39,41.17,50.41,33.86,1706.65,-0.04,21.58,21.54
HDFCLIFE.NS,2018-05-16,506.5,5.5,92.09,,,,,,
HDFCLIFE.NS,2019-05-16,388.3,6.33,61.34,5.5,92.09,506.5,15.09,-38.43,-23.34
HDFCLIFE.NS,2020-05-16,487.3,6.43,75.79,6.33,61.34,388.3,1.58,23.93,25.509999999999998
HDFCLIFE.NS,2021-05-16,670.6,6.73,99.64,6.43,75.79,487.3,4.67,32.94,37.61
HDFCLIFE.NS,2021-11-15,720.6,5.57,129.37,6.73,99.64,670.6,-17.24,24.69,7.450000000000003
BAJFINANCE.NS,2015-05-16,448.39,17.9,25.05,,,,,,
BAJFINANCE.NS,2016-05-16,762.61,23.74,32.12,17.9,25.05,448.39,32.63,37.43,70.06
BAJFINANCE.NS,2017-05-16,1332.95,33.4,39.91,23.74,32.12,762.61,40.69,34.12,74.81
