Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
MARUTI.NS,2021-02-15,7568.5,66.1,23471.0,148.02,64546.0,51.13,46.99,134.45000000000002,18756.0,50.97,6852.25,10.09,0.35,10.44,25.14,40.67,10.44
MARUTI.NS,2021-05-16,6736.4,41.09,24034.0,145.34,70372.0,46.35,66.1,148.02,23471.0,51.13,7568.5,-1.81,-9.18,-10.99,2.4,-37.84,-10.99
MARUTI.NS,2021-08-15,7002.2,15.72,17776.0,169.9,84037.0,41.21,41.09,145.34,24034.0,46.35,6736.4,16.9,-12.96,3.9399999999999977,-26.04,-61.74,3.9399999999999977
MARUTI.NS,2021-11-15,7479.85,16.12,20551.0,139.03,85832.0,53.8,15.72,169.9,17776.0,41.21,7002.2,-18.17,25.0,6.829999999999998,15.61,2.54,6.829999999999998
TITAN.NS,2020-08-15,1104.15,-3.28,1979.0,9.51,17879.0,116.1,,,,,,,,,,,
TITAN.NS,2020-11-15,1286.8,1.97,4553.0,7.93,17771.0,162.27,-3.28,9.51,1979.0,116.1,1104.15,-16.61,33.16,16.549999999999997,130.07,-160.06,16.549999999999997
TITAN.NS,2021-02-15,1494.2,5.91,7619.0,8.5,18863.0,175.79,1.97,7.93,4553.0,162.27,1286.8,7.19,8.93,16.12,67.34,200.0,16.12
TITAN.NS,2021-05-16,1455.85,6.35,7494.0,10.950000000000001,21645.0,132.95,5.91,8.5,7619.0,175.79,1494.2,28.82,-31.39,-2.5700000000000003,-1.64,7.45,-2.5700000000000003
TITAN.NS,2021-08-15,1837.9,0.23,3473.0,14.46,23139.0,127.1,6.35,10.950000000000001,7494.0,132.95,1455.85,32.05,-5.81,26.24,-53.66,-96.38,26.24
TITAN.NS,2021-11-15,2539.5,7.2,7493.0,19.69,26079.0,128.97,0.23,14.46,3473.0,127.1,1837.9,36.17,2.0,38.17,115.75,3030.43,38.17
AXISBANK.NS,2020-08-15,435.85,3.9,9590.0,6.0,38021.0,72.64,,,,,,,,,,,
AXISBANK.NS,2020-11-15,613.15,6.0,8781.0,12.080000000000002,37321.0,50.76,3.9,6.0,9590.0,72.64,435.85,101.33,-60.64,40.69,-8.44,53.85,40.69
AXISBANK.NS,2021-02-15,750.4,4.3,8252.0,9.73,36180.0,77.12,6.0,12.080000000000002,8781.0,50.76,613.15,-19.45,41.83,22.38,-6.02,-28.33,22.38
AXISBANK.NS,2021-05-16,685.0,9.6,8077.0,23.799999999999997,34700.0,28.78,4.3,9.73,8252.0,77.12,750.4,144.6,-153.32,-8.719999999999999,-2.12,123.26,-8.719999999999999
AXISBANK.NS,2021-08-15,759.9,7.69,8367.0,27.59,33477.0,27.54,9.6,23.799999999999997,8077.0,28.78,685.0,15.92,-4.99,10.93,3.59,-19.9,10.93
AXISBANK.NS,2021-11-15,736.05,11.05,8598.0,32.64,33294.0,22.55,7.69,27.59,8367.0,27.54,759.9,18.3,-21.43,-3.129999999999999,2.76,43.69,-3.129999999999999
INFY.NS,2020-08-15,953.6,9.94,23665.0,40.0,92653.0,23.84,,,,,,,,,,,
INFY.NS,2020-11-15,1133.45,11.37,24570.0,41.93,94594.0,27.03,9.94,40.0,23665.0,23.84,953.6,4.82,14.03,18.85,3.82,14.39,18.85
INFY.NS,2021-02-15,1309.8,12.2,25927.0,43.66,97429.0,30.0,11.37,41.93,24570.0,27.03,1133.45,4.13,11.44,15.57,5.52,7.3,15.57
INFY.NS,2021-05-16,1316.4,11.91,26311.0,45.419999999999995,100473.0,28.98,12.2,43.66,25927.0,30.0,1309.8,4.03,-3.54,0.4900000000000002,1.48,-2.38,0.4900000000000002
INFY.NS,2021-08-15,1712.2,12.2,27896.0,47.68,104704.0,35.91,11.91,45.419999999999995,26311.0,28.98,1316.4,4.98,25.1,30.080000000000002,6.02,2.43,30.080000000000002
INFY.NS,2021-11-15,1780.2,12.89,29602.0,49.2,109736.0,36.18,12.2,47.68,27896.0,35.91,1712.2,3.19,0.78,3.9699999999999998,6.12,5.66,3.9699999999999998
INDUSINDBK.NS,2020-08-15,507.2,7.36,3853.0,51.019999999999996,16459.0,9.94,,,,,,,,,,,
INDUSINDBK.NS,2020-11-15,770.45,8.77,3899.0,39.57,16117.0,19.47,7.36,51.019999999999996,3853.0,9.94,507.2,-22.44,74.35,51.91,1.19,19.16,51.91
INDUSINDBK.NS,2021-02-15,1027.4,10.97,3835.0,31.650000000000002,15742.0,32.46,8.77,39.57,3899.0,19.47,770.45,-20.02,53.36,33.34,-1.64,25.09,33.34
INDUSINDBK.NS,2021-05-16,890.85,11.98,3885.0,39.080000000000005,15472.0,22.8,10.97,31.650000000000002,3835.0,32.46,1027.4,23.48,-36.74,-13.260000000000002,1.3,9.21,-13.260000000000002
INDUSINDBK.NS,2021-08-15,1024.15,13.13,4011.0,44.849999999999994,15630.0,22.84,11.98,39.080000000000005,3885.0,22.8,890.85,14.76,0.2,14.959999999999999,3.24,9.6,14.959999999999999
INDUSINDBK.NS,2021-11-15,1037.05,14.81,3992.0,50.89,15723.0,20.38,13.13,44.849999999999994,4011.0,22.84,1024.15,13.47,-12.22,1.25,-0.47,12.8,1.25
ASIANPAINT.NS,2020-08-15,1802.55,2.28,2923.0,23.65,18030.0,76.22,,,,,,,,,,,
ASIANPAINT.NS,2020-11-15,2184.6,8.66,5350.0,23.73,18329.0,92.06,2.28,23.65,2923.0,76.22,1802.55,0.34,20.85,21.19,83.03,279.82,21.19
ASIANPAINT.NS,2021-02-15,2486.1,12.91,6788.0,28.67,19697.0,86.71,8.66,23.73,5350.0,92.06,2184.6,20.82,-7.02,13.8,26.88,49.08,13.8
ASIANPAINT.NS,2021-05-16,2774.5,8.88,6651.0,32.73,21712.0,84.77,12.91,28.67,6788.0,86.71,2486.1,14.16,-2.55,11.61,-2.02,-31.22,11.61
ASIANPAINT.NS,2021-08-15,2988.7,5.93,5585.0,36.379999999999995,24374.0,82.15,8.88,32.73,6651.0,84.77,2774.5,11.15,-3.44,7.710000000000001,-16.03,-33.22,7.710000000000001
ASIANPAINT.NS,2021-11-15,3122.9,6.21,7096.0,33.93000000000001,26120.0,92.04,5.93,36.379999999999995,5585.0,82.15,2988.7,-6.73,11.23,4.5,27.05,4.72,4.5
