SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
MTEDUCARE,MT Educare Limited,EQ,12-Apr-12,10,1,INE472M01018,10
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-Feb-99,10,1,INE153A01019,10
MUKANDLTD,Mukand Limited,EQ,23-Feb-04,10,1,INE304A01026,10
MUKTAARTS,Mukta Arts Limited,EQ,12-Sep-00,5,1,INE374B01019,5
MUNJALAU,Munjal Auto Industries Limited,EQ,19-Jul-06,2,1,INE672B01032,2
MUNJALSHOW,Munjal Showa Limited,EQ,12-May-03,2,1,INE577A01027,2
MURUDCERA,Murudeshwar Ceramics Limited,EQ,28-May-04,10,1,INE692B01014,10
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-Aug-15,10,1,INE296G01013,10
MUTHOOTFIN,Muthoot Finance Limited,EQ,6-May-11,10,1,INE414G01012,10
NACLIND,NACL Industries Limited,EQ,7-Apr-17,1,1,INE295D01020,1
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,EQ,15-Jun-16,1,1,INE454M01024,1
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-Sep-07,5,1,INE245I01016,5
NAGREEKEXP,Nagreeka Exports Limited,EQ,18-Jun-07,5,1,INE123B01028,5
NAHARCAP,Nahar Capital and Financial Services Limited,EQ,11-Mar-08,5,1,INE049I01012,5
NAHARINDUS,Nahar Industrial Enterprises Limited,EQ,15-Dec-05,10,1,INE289A01011,10
NAHARPOLY,Nahar Poly Films Limited,EQ,23-Mar-07,5,1,INE308A01027,5
NAHARSPING,Nahar Spinning Mills Limited,BE,23-Mar-07,5,1,INE290A01027,5
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,6-Nov-17,10,1,INE298J01013,10
NATCOPHARM,Natco Pharma Limited,EQ,27-Dec-95,2,1,INE987B01026,2
NATHBIOGEN,Nath Bio-Genes (India) Limited,EQ,28-Jan-14,10,1,INE448G01010,10
NATIONALUM,National Aluminium Company Limited,EQ,28-Apr-99,5,1,INE139A01034,5
NAUKRI,Info Edge (India) Limited,EQ,21-Nov-06,10,1,INE663F01024,10
NAVINFLUOR,Navin Fluorine International Limited,EQ,1-Jun-07,2,1,INE048G01026,2
NAVKARCORP,Navkar Corporation Limited,EQ,9-Sep-15,10,1,INE278M01019,10
NAVNETEDUL,Navneet Education Limited,EQ,8-Feb-95,2,1,INE060A01024,2
NAZARA,Nazara Technologies Limited,BE,30-Mar-21,4,1,INE418L01021,4
NBCC,NBCC (India) Limited,EQ,12-Apr-12,1,1,INE095N01031,1
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-Nov-16,5,1,INE365I01020,5
NBVENTURES,Nava Bharat Ventures Limited,EQ,3-Apr-96,2,1,INE725A01022,2
NCC,NCC Limited,EQ,14-Oct-03,2,1,INE868B01028,2
NCLIND,NCL Industries Limited,EQ,3-Apr-07,10,1,INE732C01016,10
NDGL,Naga Dhunseri Group Limited,EQ,29-Aug-16,10,1,INE756C01015,10
NDL,Nandan Denim Limited,EQ,23-Mar-12,10,1,INE875G01030,10
NDRAUTO,Ndr Auto Components Limited,EQ,30-Jul-20,10,1,INE07OG01012,10
NDTV,New Delhi Television Limited,EQ,19-May-04,4,1,INE155G01029,4
NECCLTD,North Eastern Carrying Corporation Limited,EQ,2-Mar-16,10,1,INE553C01016,10
NECLIFE,Nectar Lifesciences Limited,EQ,18-Jul-05,1,1,INE023H01027,1
NELCAST,Nelcast Limited,EQ,27-Jun-07,2,1,INE189I01024,2
NELCO,NELCO Limited,BE,28-May-03,10,1,INE045B01015,10
NEOGEN,Neogen Chemicals Limited,EQ,8-May-19,10,1,INE136S01016,10
NESCO,Nesco Limited,EQ,8-Apr-08,2,1,INE317F01035,2
NESTLEIND,Nestle India Limited,EQ,8-Jan-10,10,1,INE239A01016,10
NETWORK18,Network18 Media & Investments Limited,EQ,2-Feb-07,5,1,INE870H01013,5
NEULANDLAB,Neuland Laboratories Limited,EQ,13-Oct-08,10,1,INE794A01010,10
NEWGEN,Newgen Software Technologies Limited,EQ,29-Jan-18,10,1,INE619B01017,10
NEXTMEDIA,Next Mediaworks Limited,EQ,4-Apr-01,10,1,INE747B01016,10
NFL,National Fertilizers Limited,EQ,28-Dec-06,10,1,INE870D01012,10
NGIL,Nakoda Group of Industries Limited,BE,20-Aug-21,10,1,INE236Y01012,10
NH,Narayana Hrudayalaya Ltd.,EQ,6-Jan-16,10,1,INE410P01011,10
NHPC,NHPC Limited,EQ,1-Sep-09,10,1,INE848E01016,10
NIACL,The New India Assurance Company Limited,EQ,13-Nov-17,5,1,INE470Y01017,5
NIBL,NRB Industrial Bearings Limited,EQ,9-Apr-13,2,1,INE047O01014,2
NIITLTD,NIIT Limited,EQ,16-Aug-04,2,1,INE161A01038,2
NILAINFRA,Nila Infrastructures Limited,BE,21-May-15,1,1,INE937C01029,1
NILASPACES,Nila Spaces Limited,EQ,28-Dec-18,1,1,INE00S901012,1
NILKAMAL,Nilkamal Limited,EQ,1-Nov-95,10,1,INE310A01015,10
NIPPOBATRY,Indo-National Limited,EQ,6-Oct-99,5,1,INE567A01028,5
NIRAJ,Niraj Cement Structurals Limited,EQ,1-Oct-20,10,1,INE368I01016,10
NIRAJISPAT,Niraj Ispat Industries Limited,BE,27-Oct-16,10,1,INE326T01011,10
NITCO,Nitco Limited,EQ,21-Mar-06,10,1,INE858F01012,10
NITINFIRE,Nitin Fire Protection Industries Limited,BZ,5-Jun-07,2,1,INE489H01020,2
NITINSPIN,Nitin Spinners Limited,EQ,2-Feb-06,10,1,INE229H01012,10
NITIRAJ,Nitiraj Engineers Limited,EQ,22-Apr-21,10,1,INE439T01012,10
NKIND,NK Industries Limited,EQ,7-Jul-95,10,1,INE542C01019,10
NLCINDIA,NLC India Limited,EQ,23-Aug-00,10,1,INE589A01014,10
NMDC,NMDC Limited,EQ,3-Mar-08,1,1,INE584A01023,1
NOCIL,NOCIL Limited,EQ,17-Jan-96,10,1,INE163A01018,10
NOIDATOLL,Noida Toll Bridge Company Limited,EQ,6-Dec-02,10,1,INE781B01015,10
NORBTEAEXP,Norben Tea & Exports Limited,EQ,26-Jun-96,10,1,INE369C01017,10
NOVARTIND,Novartis India Limited,EQ,8-Nov-00,5,1,INE234A01025,5
NRAIL,N R Agarwal Industries Limited,EQ,5-Apr-17,10,1,INE740D01017,10
NRBBEARING,NRB Bearing Limited,EQ,8-Mar-00,2,1,INE349A01021,2
NSIL,Nalwa Sons Investments Limited,EQ,17-Nov-03,10,1,INE023A01030,10
NTL,Neueon Towers Limited,EQ,11-Sep-13,10,1,INE333I01036,10
NTPC,NTPC Limited,EQ,5-Nov-04,10,1,INE733E01010,10
NUCLEUS,Nucleus Software Exports Limited,EQ,19-Dec-02,10,1,INE096B01018,10
NURECA,Nureca Limited,EQ,25-Feb-21,10,1,INE0DSF01015,10
NUVOCO,Nuvoco Vistas Corporation Limited,EQ,23-Aug-21,10,1,INE118D01016,10
NXTDIG-RE,NXTDIGITAL LIMITED-RE,BE,15-Nov-21,10,1,INE353A20015,10
NXTDIGITAL,NXTDIGITAL LIMITED,EQ,24-Apr-07,10,1,INE353A01023,10
NYKAA,FSN E-Commerce Ventures Limited,EQ,10-Nov-21,1,1,INE388Y01029,1
OAL,Oriental Aromatics Limited,EQ,11-Jul-19,5,1,INE959C01023,5
OBEROIRLTY,Oberoi Realty Limited,EQ,20-Oct-10,10,1,INE093I01010,10
OCCL,Oriental Carbon & Chemicals Limited,EQ,27-Jan-16,10,1,INE321D01016,10
OFSS,Oracle Financial Services Software Limited,EQ,28-Jun-02,5,1,INE881D01027,5
OIL,Oil India Limited,EQ,30-Sep-09,10,1,INE274J01014,10
OILCOUNTUB,Oil Country Tubular Limited,BE,30-Aug-95,10,1,INE591A01010,10
OLECTRA,Olectra Greentech Limited,BE,20-Mar-02,4,1,INE260D01016,4
OMAXAUTO,Omax Autos Limited,EQ,20-Feb-03,10,1,INE090B01011,10
OMAXE,Omaxe Limited,EQ,9-Aug-07,10,1,INE800H01010,10
OMINFRAL,OM INFRA LIMITED,EQ,17-Jun-11,1,1,INE239D01028,1
OMKARCHEM,Omkar Speciality Chemicals Limited,BE,10-Feb-11,10,1,INE474L01016,10
ONELIFECAP,Onelife Capital Advisors Limited,EQ,17-Oct-11,10,1,INE912L01015,10
ONEPOINT,One Point One Solutions Limited,BE,9-May-19,10,1,INE840Y01011,10
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-Jul-95,5,1,INE213A01029,5
ONMOBILE,OnMobile Global Limited,EQ,19-Feb-08,10,1,INE809I01019,10
ONWARDTEC,Onward Technologies Limited,EQ,7-Mar-01,10,1,INE229A01017,10
OPTIEMUS,Optiemus Infracom Limited,EQ,8-Aug-17,10,1,INE350C01017,10
ORBTEXP,Orbit Exports Limited,EQ,5-Nov-13,10,1,INE231G01010,10
ORCHPHARMA,Orchid Pharma Limited,BE,2-Nov-20,10,1,INE191A01027,10
ORICONENT,Oricon Enterprises Limited,EQ,24-Jul-15,2,1,INE730A01022,2
ORIENTABRA,Orient Abrasives Limited,EQ,15-Dec-05,1,1,INE569C01020,1
ORIENTALTL,Oriental Trimex Limited,EQ,7-Mar-07,10,1,INE998H01012,10
ORIENTBELL,Orient Bell Limited,EQ,14-Feb-07,10,1,INE607D01018,10
ORIENTCEM,Orient Cement Limited,EQ,12-Jul-13,1,1,INE876N01018,1
ORIENTELEC,Orient Electric Limited,EQ,14-May-18,1,1,INE142Z01019,1
ORIENTHOT,Oriental Hotels Limited,EQ,27-Aug-98,1,1,INE750A01020,1
ORIENTLTD,Orient Press Limited,EQ,3-Mar-10,10,1,INE609C01024,10
ORIENTPPR,Orient Paper & Industries Limited,EQ,29-Mar-95,1,1,INE592A01026,1
ORISSAMINE,The Orissa Minerals Development Company Limited,EQ,29-Sep-10,1,1,INE725E01024,1
ORTEL,Ortel Communications Limited,BZ,19-Mar-15,10,1,INE849L01019,10
ORTINLAB,Ortin Laboratories Limited,EQ,30-Mar-21,10,1,INE749B01020,10
OSWALAGRO,Oswal Agro Mills Limited,EQ,29-Mar-95,10,1,INE142A01012,10
PAGEIND,Page Industries Limited,EQ,16-Mar-07,10,1,INE761H01022,10
PAISALO,Paisalo Digital Limited,EQ,17-Oct-11,10,1,INE420C01042,10
PALASHSECU,Palash Securities Limited,EQ,28-Jul-17,10,1,INE471W01019,10
PALREDTEC,Palred Technologies Limited,EQ,9-May-16,10,1,INE218G01033,10
PANACEABIO,Panacea Biotec Limited,EQ,17-Apr-96,1,1,INE922B01023,1
PANACHE,Panache Digilife Limited,EQ,6-Jan-20,10,1,INE895W01019,10
PANAMAPET,Panama Petrochem Limited,EQ,30-Sep-11,2,1,INE305C01029,2
PANSARI,Pansari Developers Limited,EQ,18-Oct-21,10,1,INE697V01011,10
PAR,Par Drugs And Chemicals Limited,EQ,16-Sep-21,10,1,INE04LG01015,10
PARACABLES,Paramount Communications Limited,EQ,3-Jan-07,2,1,INE074B01023,2
PARAGMILK,Parag Milk Foods Limited,EQ,19-May-16,10,1,INE883N01014,10
PARAS,Paras Defence and Space Technologies Limited,EQ,1-Oct-21,10,1,INE045601015,10
PARSVNATH,Parsvnath Developers Limited,EQ,30-Nov-06,5,1,INE561H01026,5
PASUPTAC,Pasupati Acrylon Limited,EQ,12-Oct-21,10,1,INE818B01023,10
PATELENG,Patel Engineering Limited,EQ,24-Feb-05,1,1,INE244B01030,1
PATINTLOG,Patel Integrated Logistics Limited,EQ,11-Jan-08,10,1,INE529D01014,10
PATSPINLTD,Patspin India Limited,EQ,10-May-95,10,1,INE790C01014,10
PAYTM,One 97 Communications Limited,EQ,18-Nov-21,1,1,INE982J01020,1
PBAINFRA,PBA Infrastructure Limited,EQ,24-Nov-05,10,1,INE160H01019,10
PCJEWELLER,PC Jeweller Limited,EQ,27-Dec-12,10,1,INE785M01013,10
PDMJEPAPER,Pudumjee Paper Products Limited,EQ,30-Mar-16,1,1,INE865T01018,1
PDSMFL,PDS Multinational Fashions Limited,EQ,21-Oct-14,10,1,INE111Q01013,10
PEARLPOLY,Pearl Polymers Limited,EQ,11-Oct-95,10,1,INE844A01013,10
PEL,Piramal Enterprises Limited,EQ,8-Feb-95,2,1,INE140A01024,2
PENIND,Pennar Industries Limited,EQ,25-Nov-10,5,1,INE932A01024,5
PENINLAND,Peninsula Land Limited,EQ,8-Feb-95,2,1,INE138A01028,2
PERSISTENT,Persistent Systems Limited,EQ,6-Apr-10,10,1,INE262H01013,10
PETRONET,Petronet LNG Limited,EQ,26-Mar-04,10,1,INE347G01014,10
PFC,Power Finance Corporation Limited,EQ,23-Feb-07,10,1,INE134E01011,10
PFIZER,Pfizer Limited,EQ,28-Apr-99,10,1,INE182A01018,10
PFOCUS,Prime Focus Limited,EQ,20-Jun-06,1,1,INE367G01038,1
PFS,PTC India Financial Services Limited,EQ,30-Mar-11,10,1,INE560K01014,10
PGEL,PG Electroplast Limited,EQ,26-Sep-11,10,1,INE457L01011,10
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,7-Jul-04,10,1,INE179A01014,10
PGHL,Procter & Gamble Health Limited,EQ,24-Apr-96,10,1,INE199A01012,10
PGIL,Pearl Global Industries Limited,EQ,15-Feb-07,10,1,INE940H01014,10
PHILIPCARB,Phillips Carbon Black Limited,EQ,29-Mar-95,2,1,INE602A01023,2
PHOENIXLTD,The Phoenix Mills Limited,EQ,23-Apr-07,2,1,INE211B01039,2
PIDILITIND,Pidilite Industries Limited,EQ,29-Mar-95,1,1,INE318A01026,1
PIIND,PI Industries Limited,EQ,15-Jun-11,1,1,INE603J01030,1
PILANIINVS,Pilani Investment and Industries Corporation Limited,EQ,8-Dec-15,10,1,INE417C01014,10
PILITA,PIL ITALICA LIFESTYLE LIMITED,EQ,7-Oct-13,1,1,INE600A01035,1
PIONDIST,Pioneer Distilleries Limited,EQ,15-Jun-10,10,1,INE889E01010,10
PIONEEREMB,Pioneer Embroideries Limited,EQ,16-May-06,10,1,INE156C01018,10
PITTIENG,Pitti Engineering Limited,EQ,2-Feb-07,5,1,INE450D01021,5
PKTEA,The Peria Karamalai Tea & Produce Company Limited,BE,19-Aug-15,10,1,INE431F01018,10
PLASTIBLEN,Plastiblends India Limited,EQ,28-Dec-06,5,1,INE083C01022,5
PNB,Punjab National Bank,EQ,24-Apr-02,2,1,INE160A01022,2
PNBGILTS,PNB Gilts Limited,EQ,18-Sep-00,10,1,INE859A01011,10
PNBHOUSING,PNB Housing Finance Limited,EQ,7-Nov-16,10,1,INE572E01012,10
PNC,Pritish Nandy Communications Limited,EQ,11-Dec-00,10,1,INE392B01011,10
PNCINFRA,PNC Infratech Limited,EQ,26-May-15,2,1,INE195J01029,2
PODDARHOUS,Poddar Housing and Development Limited,EQ,10-Apr-17,10,1,INE888B01018,10
PODDARMENT,Poddar Pigments Limited,EQ,22-Nov-16,10,1,INE371C01013,10
POKARNA,Pokarna Limited,EQ,7-Jul-16,2,1,INE637C01025,2
POLICYBZR,PB Fintech Limited,EQ,15-Nov-21,2,1,INE417T01026,2
POLYCAB,Polycab India Limited,EQ,16-Apr-19,10,1,INE455K01017,10
POLYMED,Poly Medicure Limited,EQ,7-Dec-11,5,1,INE205C01021,5
POLYPLEX,Polyplex Corporation Limited,EQ,11-Apr-03,10,1,INE633B01018,10
PONNIERODE,Ponni Sugars (Erode) Limited,EQ,16-Apr-02,10,1,INE838E01017,10
POONAWALLA,Poonawalla Fincorp Limited,EQ,27-Apr-04,2,1,INE511C01022,2
POWERGRID,Power Grid Corporation of India Limited,EQ,5-Oct-07,10,1,INE752E01010,10
POWERINDIA,ABB Power Products and Systems India Limited,EQ,30-Mar-20,2,1,INE07Y701011,2
POWERMECH,Power Mech Projects Limited,EQ,26-Aug-15,10,1,INE211R01019,10
PPAP,PPAP Automotive Limited,EQ,11-Jan-08,10,1,INE095I01015,10
PPL,Prakash Pipes Limited,EQ,14-Jun-19,10,1,INE050001010,10
PRAENG,Prajay Engineers Syndicate Limited,EQ,2-Jan-07,10,1,INE505C01016,10
PRAJIND,Praj Industries Limited,BE,11-Oct-95,2,1,INE074A01025,2
PRAKASH,Prakash Industries Limited,EQ,10-May-95,10,1,INE603A01013,10
PRAKASHSTL,Prakash Steelage Limited,EQ,25-Aug-10,1,1,INE696K01024,1
PRAXIS,Praxis Home Retail Limited,BE,31-Jan-18,5,1,INE546Y01022,5
PRECAM,Precision Camshafts Limited,EQ,8-Feb-16,10,1,INE484I01029,10
PRECOT,Precot Limited,EQ,19-Aug-05,10,1,INE283A01014,10
PRECWIRE,Precision Wires India Limited,EQ,6-Sep-95,5,1,INE372C01029,5
PREMEXPLN,Premier Explosives Limited,EQ,17-Jun-16,10,1,INE863B01011,10
PREMIER,Premier Limited,EQ,3-Apr-96,10,1,INE342A01018,10
PREMIERPOL,Premier Polyfilm Limited,EQ,13-Dec-95,5,1,INE309M01012,5
PRESSMN,Pressman Advertising Limited,EQ,5-Jan-05,2,1,INE980A01023,2
PRESTIGE,Prestige Estates Projects Limited,EQ,27-Oct-10,10,1,INE811K01011,10
PRICOLLTD,Pricol Limited,EQ,10-Feb-17,1,1,INE726V01018,1
PRIMESECU,Prime Securities Limited,EQ,17-Jun-05,5,1,INE032B01021,5
PRINCEPIPE,Prince Pipes And Fittings Limited,EQ,30-Dec-19,10,1,INE689W01016,10
PRITIKAUTO,Pritika Auto Industries Limited,EQ,10-Aug-21,2,1,INE583R01029,2
PRIVISCL,Privi Speciality Chemicals Limited,EQ,8-May-15,10,1,INE959A01019,10
PROINDIA,Proseed India Limited,EQ,19-May-21,1,1,INE217G01035,1
PROZONINTU,Prozone Intu Properties Limited,EQ,12-Sep-12,2,1,INE195N01013,2
PRSMJOHNSN,Prism Johnson Limited,EQ,20-Aug-03,10,1,INE010A01011,10
PSB,Punjab & Sind Bank,EQ,30-Dec-10,10,1,INE608A01012,10
