Date, Market Mood Index, Nifty Index
10/11/2021,38.92631229330787,18017.2
09/11/2021,39.66107861355399,18044.25
08/11/2021,31.190007110672248,18068.55
03/11/2021,26.873659133371575,17829.2
03/11/2021,27.8780952170844,17829.2
02/11/2021,30.73744499054669,17888.95
01/11/2021,28.26070508596131,17929.65
29/10/2021,24.068052834307046,17671.65
28/10/2021,30.242657928611365,17857.25
27/10/2021,38.94508254761726,18210.95
26/10/2021,41.226342080564216,18268.4
25/10/2021,41.37274915457675,18125.4
22/10/2021,44.36249976583761,18114.9
21/10/2021,50.44581503046335,18178.1
20/10/2021,49.81882013493076,18266.6
19/10/2021,58.34034229787051,18418.75
18/10/2021,69.52907386493698,18477.05
14/10/2021,54.72902965497032,18338.55
13/10/2021,49.463897640928636,18161.75
12/10/2021,45.767484845986885,17991.95
11/10/2021,44.71076871062604,17945.95
08/10/2021,42.358793752740894,17895.2
07/10/2021,35.52266812181618,17790.35
06/10/2021,40.85361105053241,17646
05/10/2021,47.702692421575236,17822.3
04/10/2021,42.89204262256659,17691.25
01/10/2021,40.27956740446634,17532.05
30/09/2021,42.24073355878315,17618.15
29/09/2021,42.583611823452785,17711.3
28/09/2021,44.055617995755156,17748.6
27/09/2021,48.390466787020976,17855.1
24/09/2021,50.89760854513864,17853.2
24/09/2021,51.060653883183136,17853.2
23/09/2021,46.309303596939685,17822.95
22/09/2021,47.79703424180476,17546.65
21/09/2021,49.37652693279011,17562
20/09/2021,40.92484857741724,17396.9
17/09/2021,50.163488512646964,17585.15
16/09/2021,62.95089105746523,17629.5
15/09/2021,64.11352106307717,17519.45
14/09/2021,60.06319868252673,17380
13/09/2021,65.2239483932643,17355.3
09/09/2021,67.88861379829001,17369.25
08/09/2021,66.61909163848668,17353.5
07/09/2021,70.40438712720203,17362.1
06/09/2021,71.02135410295176,17377.8
03/09/2021,72.22384881527228,17323.6
02/09/2021,70.14167856163142,17234.15
01/09/2021,67.49511038150831,17076.25
31/08/2021,61.82914009674799,17132.2
30/08/2021,51.557563576801115,16931.05
27/08/2021,40.015278053863796,16705.2
26/08/2021,36.378175586594516,16636.9
25/08/2021,41.61174489699994,16634.65
24/08/2021,44.328347393229286,16624.6
23/08/2021,41.802068939121284,16496.45
20/08/2021,49.28717563966198,16450.5
18/08/2021,53.6921265543966,16568.85
17/08/2021,53.57295962790885,16614.6
16/08/2021,52.17460287873881,16563.05
13/08/2021,49.615675699038896,16529.1
12/08/2021,53.77942429653076,16364.4
11/08/2021,50.27679720717403,16282.25
10/08/2021,44.2795433604135,16280.1
09/08/2021,48.83853794878917,16258.25
06/08/2021,49.16368956584637,16238.2
05/08/2021,44.09200331585758,16294.6
04/08/2021,47.784873925118006,16258.8
03/08/2021,46.699054738000896,16130.75
02/08/2021,40.626363066200625,15885.15
30/07/2021,38.7348580140899,15763.05
29/07/2021,33.98754168391931,15778.45
28/07/2021,32.8919758820674,15709.4
27/07/2021,41.283867002393805,15746.45
26/07/2021,37.99599090191255,15824.45
23/07/2021,36.31261917014641,15856.05
22/07/2021,34.85557288801709,15824.05
20/07/2021,33.49420813093316,15632.1
19/07/2021,51.521003961854944,15752.4
16/07/2021,59.64251895910723,15923.4
15/07/2021,52.207841988360336,15924.2
14/07/2021,49.228503495786555,15853.95
13/07/2021,50.53623011462139,15812.35
12/07/2021,46.641728694228576,15692.6
09/07/2021,44.62834838846128,15689.8
08/07/2021,52.356862035466754,15727.9
07/07/2021,54.58847845319845,15879.65
06/07/2021,61.349399839866436,15818.25
05/07/2021,66.21709160212714,15834.35
02/07/2021,58.13851219757245,15722.2
01/07/2021,58.20990492238141,15680
30/06/2021,60.07183626489105,15721.5
29/06/2021,65.37055585366117,15748.45
28/06/2021,70.80458661406442,15814.7
25/06/2021,61.88741768800432,15860.35
24/06/2021,52.686688854899394,15790.45
23/06/2021,59.24044237849269,15686.95
22/06/2021,66.44582444439665,15772.75
21/06/2021,67.81169695256781,15746.5
18/06/2021,62.21783736589532,15683.35
17/06/2021,63.27478252329725,15691.4
16/06/2021,72.88711628630585,15767.55
15/06/2021,76.4566677580404,15869.25
14/06/2021,74.19328746327929,15811.85
11/06/2021,76.3464972948479,15799.35
10/06/2021,76.73479801790799,15737.75
09/06/2021,76.25247295895794,15635.35
08/06/2021,83.74564231698497,15740.1
07/06/2021,88.17932962510507,15751.65
04/06/2021,86.93949418192062,15670.25
03/06/2021,87.73766484593142,15690.35
02/06/2021,83.57087573573423,15576.2
01/06/2021,80.54902100399383,15574.85
31/05/2021,82.21528641114688,15582.8
28/05/2021,77.8379938468396,15435.65
27/05/2021,70.38082237471535,15337.85
26/05/2021,67.1514100354494,15301.45
25/05/2021,71.84222602940832,15208.45
24/05/2021,71.04046424671098,15197.7
21/05/2021,62.0111775378663,15175.3
20/05/2021,58.005147087685685,14906.05
19/05/2021,61.40584405569623,15030.15
18/05/2021,61.00673023237077,15108.1
17/05/2021,48.06118551953391,14923.15
14/05/2021,43.89314194955334,14677.8
12/05/2021,56.33953075818113,14696.5
11/05/2021,61.92261520112373,14850.75
10/05/2021,59.345152325657985,14942.35
07/05/2021,54.78899233903802,14823.15
06/05/2021,54.46128296809898,14724.8
05/05/2021,49.08499212198721,14617.85
04/05/2021,42.94146039993127,14496.5
03/05/2021,47.924022311609974,14634.15
30/04/2021,52.09866888741422,14631.1
30/04/2021,52.09866888741422,14631.1
29/04/2021,52.42679991246635,14894.9
28/04/2021,52.808127823959495,14864.55
27/04/2021,50.00391990193194,14653.05
26/04/2021,46.419390626953344,14485
